IN,,,,,,,,,,,,,
PRODUCT CODE,EQUIPMENT DESCRIPTION,TICKET,TECH,DATE,QUANTITY,,,,,,,,
,,,,,,,,14,MOUSE NEW,Update,Pablo,8/3/2024,20
,,,,,,,,11,MONITORS USED,Update,Andres A,8/3/2024,2
,,,,,,,,44,MEMORY 16 GB DDR4 LAPTOP,Update,Pablo,8/6/2024,5
,,,,,,,,1,WYSE,Update,Pablo,8/6/2024,25
,,,,,,,,5,HEADSET-PLANTRONICS,Update,Pablo,8/6/2024,2
,,,,,,,,9,KEYBOARD USED,Update,Pablo,8/6/2024,2
,,,,,,,,12,MOUSE USED,Update,Pablo,8/6/2024,2
,,,,,,,,10,MONITORS NEW,Update,Pablo,8/19/2024,35
,,,,,,,,31,DISPLAYPORT ADAPTER,Update,Pablo,8/19/2024,30
,,,,,,,,45,SUPRESORES DE PICO,Update,Pablo,8/19/2024,10
,,,,,,,,2,DESKTOP-LENOVO,Update,Pablo,8/22/2024,2
,,,,,,,,20,LAPTOPS NEW,Update,Pablo,9/13/2024,5
,,,,,,,,6,HEADSET-VARIOS 3.5,Update,Pablo,9/13/2024,8
,,,,,,,,46,not exist,Update,Pablo,9/16/2024,6
,,,,,,,,19,POWER STRIP,Update,Andres A,10/15/2024,1
,,,,,,,,65,Cargador de wyse 19.5V - 6.7A,Update,Melanie,,20
,,,,,,,,66,Cargador de wyse 19.5V - 3.34A,Update,Melanie,,30
,,,,,,,,67,Cargador de wyse 19V -3.42A,Update,Melanie,,30
,,,,,,,,,,,,,
,,,,,,,,80,not exist,Update ,Melanie ,,73
,,,,,,,,86,Adaptador de red RJ45 a USB,,,,8
,,,,,,,,69,Cargador 19V - 1.31A,Update,Melanie,,2
