EQUIPMENT,,,,,,,OUT,,,,,,,IN,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
PRODUCT CODE,EQUIPMENT DESCRIPTION,BRAND,IN,OUT,AVAILABLE,,PRODUCT CODE,EQUIPMENT DESCRIPTION,Ticket ,TECH,DATE,QUANTITY,,PRODUCT CODE,EQUIPMENT DESCRIPTION,TICKET,TECH,DATE,QUANTITY,
,,,,,,,9,KEYBOARD USED,31569536,Ronald ,4/2/2025,1,,31,DISPLAYPORT ADAPTER,Update,Melanie,1/9/2025,13,
,,,,,,,6,HEADSET-VARIOS 3.5,31563262,Pablo ,4/1/2025,1,,9,KEYBOARD USED,30746733,Stiven,1/9/2025,2,
,,,,,,,22,EARPADS,31555913,Andres A,3/31/2025,1,,31,DISPLAYPORT ADAPTER,Update,Jose D,1/8/2025,1,
,,,,,,,31,DISPLAYPORT ADAPTER,31532958,Jose D ,3/29/2025,4,,22,EARPADS,Update,Melanie,1/8/2025,77,
,,,,,,,11,MONITORS USED,31532958,Jose D ,3/29/2025,2,,1,WYSE,Update ,Jose D,1/7/2025,2,
,,,,,,,14,MOUSE NEW,31540918,Jose D ,3/29/2025,1,,11,MONITORS USED,Update ,Jose D,1/8/2025,1,
,,,,,,,31,DISPLAYPORT ADAPTER,31539031,Andres A,3/29/2025,1,,78,Handset,Update,Melanie,1/7/2025,30,
,,,,,,,22,EARPADS,No ticket ,Melanie ,3/28/2025,1,,31,DISPLAYPORT ADAPTER,Update,Melanie,12/27/2024,1,
,,,,,,,14,MOUSE NEW,31519858,Pablo,3/28/2025,1,,59,Cable de red 1m ,Update,Melanie,12/27/2024,12,
,,,,,,,78,Handset,31522297,Pablo ,3/27/2025,1,,62,Cable de red  5m ,Update,Melanie,12/27/2024,7,
,,,,,,,22,EARPADS,31514476,Melanie ,3/26/2025,1,,25,UPS NEW,Update,Melanie,1/7/2025,3,
,,,,,,,2,DESKTOP-LENOVO,No ticket ,Pablo ,3/26/2025,1,,11,MONITORS USED,30565085,Pablo,12/21/2024,1,
,,,,,,,1,WYSE,31496011,Stiven,3/26/2025,1,,14,MOUSE NEW,Update,Melanie,12/19/2024,15,
,,,,,,,16,PHONE,31510519,Stiven,3/26/2025,1,,14,MOUSE NEW, 30479182,Jose D,12/16/2024,2,
,,,,,,,62,Cable de red  5m ,31507545,Pablo ,3/25/2025,1,,1,WYSE,Update ,Jose L. ,12/10/2024,3,
,,,,,,,2,DESKTOP-LENOVO,31504584,Andres A,3/25/2025,2,,41,HEADSET USADOS,Update ,Melanie,12/10/2024,1,
,,,,,,,61,Cable de red 30cm ,No ticket,Melanie ,3/25/2025,100,,5,HEADSET-PLANTRONICS,Update,Melanie,12/10/2024,20,
,,,,,,,86,Adaptador de red RJ45 a USB,31496686,Ronald ,3/24/2025,1,,30,WEB CAM,Update ,Melanie,12/5/2024,5,
,,,,,,,10,MONITORS NEW,No ticket ,Pablo,3/24/2025,2,,20,LAPTOPS NEW,Update,Melanie,12/5/2024,3,
,,,,,,,22,EARPADS,31490731,Jose D ,3/24/2025,1,,11,MONITORS USED,Update,Melanie,12/5/2024,1,
,,,,,,,86,Adaptador de red RJ45 a USB,31481119,Andres A,3/23/2025,1,,78,Handset,Update,Melanie,12/3/2024,3,
,,,,,,,1,WYSE,No ticket ,Andres A,3/22/2025,1,,6,HEADSET-VARIOS 3.5,Update,Melanie,12/3/2024,2,
,,,,,,,14,MOUSE NEW,31461941,Andres A,3/21/2025,1,,11,MONITORS USED,30281124,Jose D,11/29/2024,2,
,,,,,,,14,MOUSE NEW,31457785,Melanie,3/21/2025,1,,5,HEADSET-PLANTRONICS,Update ,Melanie,11/20/2024,1,
,,,,,,,6,HEADSET-VARIOS 3.5,31431049,Stiven,3/19/2025,1,,11,MONITORS USED,Update ,Pablo,11/20/2024,2,
,,,,,,,31,DISPLAYPORT ADAPTER,31430900,Pablo ,3/19/2025,1,,52,Extensores ,Update,Melanie,11/19/2024,2,
,,,,,,,26,UPS USED,31424006,Stiven,3/18/2025,1,,53,Cable de corriente de 2 espigas,Update,Melanie,11/19/2024,5,
,,,,,,,2,DESKTOP-LENOVO,31422481,Stiven,3/18/2025,1,,54,Cargador Lenovo (Laptop),Update,Melanie,11/19/2024,4,
,,,,,,,59,Cable de red 1m ,31422481,Stiven,3/18/2025,1,,55,Cargador HP (Laptop),Update,Melanie,11/19/2024,2,
,,,,,,,9,KEYBOARD USED,31422481,Stiven,3/18/2025,1,,56,Cable VGA,Update,Melanie,11/19/2024,7,
,,,,,,,11,MONITORS USED,31422481,Stiven,3/18/2025,2,, ,not exist,Update,Melanie,11/19/2024,5,
,,,,,,,31,DISPLAYPORT ADAPTER,31419740,Andres A,3/18/2025,1,,58,Cable de extension ,Update,Melanie,11/19/2024,2,
,,,,,,,31,DISPLAYPORT ADAPTER,Torre 2,Andres A,3/18/2025,2,,59,Cable de red 1m ,Update,Melanie,11/19/2024,8,
,,,,,,,14,MOUSE NEW,No ticket ,Andres A,3/18/2025,1,,60,Cable de red 2m ,Update,Melanie,11/19/2024,40,
,,,,,,,15,LAPTOPS USED,31417001,Andres A,3/17/2025,1,,61,Cable de red 30cm ,Update,Melanie,11/19/2024,286,
